"state","evotes","poll_landon_rep","poll_landon_1932_rep","poll_landon_1932_dem","poll_landon_1932_soc","poll_landon_1932_oth","poll_landon_1932_nov","poll_landon_1932_nas","poll_roosevelt_dem","poll_roosevelt_1932_rep","poll_roosevelt_1932_dem","poll_roosevelt_1932_soc","poll_roosevelt_1932_oth","poll_roosevelt_1932_nov","poll_roosevelt_1932_nas","poll_lemke_soc","poll_lemke_1932_rep","poll_lemke_1932_dem","poll_lemke_1932_soc","poll_lemke_1932_oth","poll_lemke_1932_nov","poll_lemke_1932_nas","poll_oth_thomas","poll_oth_browder","poll_oth_colvin","poll_oth_aiken","poll_oth_others","dem_1932","rep_1932","soc_1932","oth_1932","dem_roosevelt","rep_landon","uni_lemke","soc_thomas","oth_others"
"Alabama",11,3060,1218,1298,3,3,412,126,10082,371,8530,50,1,736,394,68,5,49,4,0,4,6,33,3,27,0,0,207910,34675,2030,739,238136,35358,551,242,1397
"Arizona",3,2337,1431,647,18,0,129,112,1975,248,1555,33,0,70,69,104,22,52,8,0,10,12,22,24,14,0,0,79264,36104,2618,265,86722,33433,3307,317,384
"Arkansas",9,2724,1338,953,7,9,274,143,7608,228,6655,16,8,373,328,138,14,98,4,3,9,10,37,5,21,2,5,189602,28467,1269,1224,146765,32039,4,446,169
"California",22,89516,65360,16200,315,53,3519,4069,77245,15165,53520,1816,63,3578,3103,4977,1620,2560,117,25,163,492,728,967,398,44,60,1324157,847902,63299,32608,1766836,836431,0,11331,24284
"Colorado",6,15949,11872,2714,131,12,637,583,10025,1747,7256,284,13,439,286,579,136,333,29,2,26,53,122,49,41,10,11,250877,189617,13591,3611,295021,181267,9962,1593,841
"Connecticut",8,28809,22939,3376,111,7,1230,1146,13413,2584,9113,408,6,788,514,1489,245,1006,53,3,70,112,258,101,39,31,11,281632,288420,20480,3651,382129,278685,21805,5683,2421
"Delaware",3,2918,2343,328,9,0,134,104,2048,503,1345,34,0,96,70,35,6,19,3,0,2,5,16,2,8,0,1,54319,57073,1376,133,69702,57236,442,172,51
"Florida",7,6087,3121,2051,13,5,594,303,8620,635,6924,41,0,614,406,195,37,116,6,2,12,22,58,22,31,6,2,206307,69170,775,0,249117,78248,0,0,0
"Georgia",12,3948,1239,1817,5,11,708,168,12915,379,10377,42,9,1569,539,35,3,23,1,0,6,2,45,12,27,0,17,234118,19863,461,1148,255364,36942,141,68,660
"Idaho",4,3653,2672,698,9,8,103,163,2611,398,1989,30,8,89,97,224,69,109,8,11,9,18,34,3,17,1,3,109479,71417,526,5203,125683,66256,7678,0,0
